Airports,Periods,Cross-country flights (number),Local flights (number),Commercial air traffic/Flights/All flights/Total flights (number),Commercial air traffic/Flights/All flights/Scheduled (number),Total passengers (number),Total cargo (ton),Total mail (ton)
Total Dutch airports,2019 January,43492,3547,41285,40217,5495052,133445,1615
Total Dutch airports,2019 February,41972,3564,39204,38408,5352301,128322,1398
Total Dutch airports,2019 March,47712,3992,44649,43828,6270788,155427,1761
Total Dutch airports,2019 April,51400,4990,47934,46845,6926059,138159,1747
Total Dutch airports,2019 May,55561,4923,51719,50253,7396960,144540,1860
Total Dutch airports,2019 June,54113,4559,50135,48809,7471334,131970,1736
Total Dutch airports,2019 July,55398,4832,51786,50230,7730263,137391,1876
Total Dutch airports,2019 August,55321,4533,52127,50496,7859458,135263,1774
Total Dutch airports,2019 September,54336,4822,51091,49543,7486440,140637,1747
Total Dutch airports,2019 October,54417,5118,51135,49836,7354352,150127,1974
Total Dutch airports,2019 November,44911,3903,42195,41481,5885771,148037,2133
Total Dutch airports,2019 December,45000,3156,42771,42115,5938523,138385,2338
Total Dutch airports,2020 January,43913,3006,41768,41111,5595249,122254,1908
Total Dutch airports,2020 February,41559,3476,39299,38537,5281600,126726,1491
Total Dutch airports,2020 March,30705,4099,28306,27414,2773554,127995,1167
Total Dutch airports,2020 April,6093,1991,4759,4175,133752,103420,382
Total Dutch airports,2020 May,8781,4397,6556,5738,220120,117525,542
Total Dutch airports,2020 June,12305,6417,9336,8589,526544,121692,855
Total Dutch airports,2020 July,23209,7456,19701,18753,1690515,132684,1083
Total Dutch airports,2020 August,30641,6897,27575,26702,2242935,133168,1283
Total Dutch airports,2020 September,28850,7154,25290,24515,1547263,135059,1251
Total Dutch airports,2020 October,24471,6982,22028,21435,1303123,153109,1521
Total Dutch airports,2020 November,18585,6537,16283,15490,965071,157508,1511
Total Dutch airports,2020 December,19070,3243,17325,16271,1306018,146441,1837
Total Dutch airports,2021 January,17466,2134,15907,15129,909617,140859,1403
Total Dutch airports,2021 February,12995,3003,11528,10735,519827,137288,1109
Total Dutch airports,2021 March,15789,9371,13228,12287,676647,165377,1379
Total Dutch airports,2021 April,17967,8954,14891,14062,817876,152164,1258
Total Dutch airports,2021 May,20237,8649,16987,16267,1169673,158164,1223
Total Dutch airports,2021 June,25536,9299,21701,20885,1870330,145582,1128
Total Dutch airports,2021 July,37718,7338,33916,32642,3515159,138789,978
Total Dutch airports,2021 August,40922,8740,37282,36045,4479180,140198,1049
Total Dutch airports,2021 September,39712,8785,35262,34040,4013477,144584,1002
Total Dutch airports,2021 October,40489,6890,36465,35295,4395945,161776,1040
Total Dutch airports,2021 November,35131,6510,32026,31023,3492940,156617,943
Total Dutch airports,2021 December,36326,4327,33869,33044,3208864,153901,1038
Total Dutch airports,2022 January,31964,5212,29604,28750,2831598,131588,827
Total Dutch airports,2022 February,30459,5779,27456,26599,3040193,126020,824
Total Dutch airports,2022 March,39107,9705,34568,33635,4241663,137570,819
Total Dutch airports,2022 April,43239,7408,38824,37560,5140272,126658,688
Total Dutch airports,2022 May,49637,7906,44823,42987,6091195,128112,685
Total Dutch airports,2022 June,48847,9017,43248,41393,6118070,125858,667
Total Dutch airports,2022 July,48364,8659,43218,41260,6211931,130029,584
Total Dutch airports,2022 August,49173,9175,44862,42970,6378969,125037,549
Total Dutch airports,2022 September,47989,8324,43523,41847,6108567,130738,538
Total Dutch airports,2022 October,47117,7661,42909,41366,5854649,135512,465
Total Dutch airports,2022 November,37876,5771,34597,33820,4570458,128395,461
Total Dutch airports,2022 December,37591,4447,34968,34327,4680493,120439,608
Total Dutch airports,2023 January*,37038,6455,34322,33553,4480014,109114,478
Total Dutch airports,2023 February*,35573,6982,32416,31673,4348644,113147,440
Total Dutch airports,2023 March*,41983,7044,38044,37109,5276851,125407,457
Total Dutch airports,2023 April*,45722,7939,41609,40550,5912774,116129,430
Total Dutch airports,2023 May*,49828,8198,45469,44214,6514881,118281,471
Total Dutch airports,2023 June*,49260,8501,44638,43355,6539439,112994,447
Total Dutch airports,2023 July*,51665,7131,47556,45884,6991247,115703,407
Total Dutch airports,2023 August*,51960,8675,48111,46471,7061633,112120,454
Total Dutch airports,2023 September*,50962,7315,47029,45527,6731547,119814,472
Total Dutch airports,2023 October*,50894,5617,47551,46213,6730858,124515,476
Total Dutch airports,2023 November*,41754,5753,39272,38556,5315004,118989,595
Total Dutch airports,2023 December*,42134,3721,39972,39106,5417945,124103,771
Total Dutch airports,2024 January*,41948,5994,39237,38407,5125828,120257,529
Total Dutch airports,2024 February*,41985,5605,39333,38396,5232842,123713,542
Total Dutch airports,2024 March*,46542,7032,42859,41925,5891765,139373,512
Total Dutch airports,2024 April*,48019,7738,44627,43671,6274032,120928,498
Total Dutch airports,2024 May*,52221,8225,48215,47026,6930388,126163,523
Total Dutch airports,2024 June*,51320,9109,46924,45685,6884361,125021,511
Total Dutch airports,2024 July*,53018,9289,48827,47230,7251748,129985,500
Total Dutch airports,2024 August*,53309,8486,49249,47775,7375926,128625,490
